,oid,classALeRCE,period,source,LKSL_samples_g,LKSL_samples_r,LKSL_time_g,LKSL_time_r,LKSL_T_g,LKSL_T_r,PDM1_samples_g,PDM1_samples_r,PDM1_time_g,PDM1_time_r,PDM1_T_g,PDM1_T_r,MHAOV_samples_g,MHAOV_samples_r,MHAOV_time_g,MHAOV_time_r,MHAOV_T_g,MHAOV_T_r,QME_samples_g,QME_samples_r,QME_time_g,QME_time_r,QME_T_g,QME_T_r,QMICS_samples_g,QMICS_samples_r,QMICS_time_g,QMICS_time_r,QMICS_T_g,QMICS_T_r,QMIEU_samples_g,QMIEU_samples_r,QMIEU_time_g,QMIEU_time_r,QMIEU_T_g,QMIEU_T_r
30,ZTF18aabpsbq,RRL,0.3490584,CRTSnorth,60,60,0.2020118236541748,0.19601106643676758,0.3490640404627212,0.349045845586349,60,60,0.14200806617736816,0.14000797271728516,0.349045845586349,0.3490640404627212,60,60,0.17300987243652344,0.1760101318359375,0.3490640404627212,0.3490640404627212,60,60,1.1370649337768555,1.1300644874572754,0.349045845586349,0.3490640404627212,60,60,1.1370651721954346,1.1370649337768555,0.349045845586349,0.3490640404627212,60,60,1.1660666465759277,1.1350648403167725,0.349045845586349,0.3490640404627212
31,ZTF17aabwxlj,RRL,0.603125,LINEAR,60,60,0.2000112533569336,0.19601106643676758,0.6031023086293605,1.206216550277481,60,60,0.1410081386566162,0.14000821113586426,1.2061536798166306,0.3758145833324436,60,60,0.18001031875610352,0.17300987243652344,0.6031023086293605,0.6030708687937973,60,60,1.1320645809173584,1.1290647983551025,0.6031023086293605,0.6031023086293605,60,60,1.1420652866363525,1.1310646533966064,0.6031337517431946,0.6031023086293605,60,60,1.1420652866363525,1.1290645599365234,0.6031337517431946,0.6031023086293605
32,ZTF18acryfiu,RRL,0.7232499,ASASSN,60,60,0.20301151275634766,0.19701123237609863,0.7232507248144497,0.7232507248144497,60,60,0.14500832557678223,0.1390080451965332,0.7231940872374903,0.7232694877221435,60,60,0.18101000785827637,0.17700982093811035,0.7232507248144497,0.7232507248144497,60,60,1.1330647468566895,1.1180639266967773,0.7232507248144497,0.7232694877221435,60,60,1.309075117111206,2.405137538909912,0.7232507248144497,0.7232694877221435,60,60,1.8391051292419434,1.5010859966278076,0.7232507248144497,0.7232694877221435
33,ZTF17aaceezs,RRL,0.5523521,GAIADR2VS,60,60,0.2560145854949951,0.2540144920349121,0.5523443021053069,0.5523730914141699,60,60,0.1780099868774414,0.18101048469543457,0.552401883724304,1.1047859283136927,60,60,0.2280130386352539,0.23301362991333008,0.5523730914141699,0.5523443021053069,60,60,1.4270813465118408,2.3011314868927,0.5523730914141699,0.5523443021053069,60,60,2.2351276874542236,2.3011314868927,0.5523730914141699,0.5523443021053069,60,60,2.727155923843384,2.282130479812622,0.5523730914141699,0.5523443021053069
34,ZTF18aabjcuu,RRL,0.52966,CRTSnorth,60,60,0.3780217170715332,0.34901976585388184,1.0376854492884318,0.9311293541423397,60,60,0.24001383781433105,0.22901320457458496,17.617478315415966,0.9312264492200515,60,60,0.2800161838531494,0.2800159454345703,0.5296040631517968,0.46559648268922127,60,60,1.6500945091247559,1.5120863914489746,0.5296316686319904,0.46559648268922127,60,60,1.4520831108093262,1.4970853328704834,0.5296316686319904,0.46559648268922127,60,60,1.446082592010498,1.446082592010498,0.5296316686319904,0.46559648268922127
35,ZTF17aabukbn,RRL,0.65671,LINEAR,60,60,0.2960169315338135,0.5100290775299072,0.6566907632173643,0.6566907632173643,60,60,0.36002039909362793,0.3220183849334717,0.6566907632173643,0.6566907632173643,60,60,0.3980228900909424,0.36202049255371094,0.6567592371798285,0.6566565315901937,60,60,1.9931137561798096,1.6270930767059326,0.6567249984137232,0.6566907632173643,60,60,2.410137891769409,2.891165256500244,0.6566907632173643,0.6566737274811933,60,60,2.0821192264556885,1.6600947380065918,0.6566907632173643,0.6566907632173643
36,ZTF17aabxpgg,RRL,0.278447,CRTSnorth,60,60,0.26801514625549316,0.2540144920349121,0.5568833544460693,0.43533909746169513,60,60,0.18001031875610352,0.17901015281677246,0.5569123879059906,0.43533909746169513,60,60,0.23401331901550293,0.23101353645324707,0.38630218725552123,0.3863223221115177,60,60,1.4490830898284912,1.6330933570861816,0.38630218725552123,0.3863223221115177,60,60,1.544088363647461,1.2360706329345703,0.38630218725552123,0.3863223221115177,60,60,1.1350648403167725,1.2760727405548096,0.38630218725552123,0.3863223221115177
37,ZTF18abgoogp,RRL,0.3639689,CRTSnorth,60,60,0.20701193809509277,0.19501113891601562,0.36394785600192364,0.36392888234337306,60,60,0.14600825309753418,0.1350078582763672,0.36396683163898436,0.36392888234337306,60,60,0.18401050567626953,0.1780102252960205,0.36396683163898436,0.36394785600192364,60,60,1.2330703735351562,1.1050631999969482,0.36394785600192364,0.36394785600192364,60,60,1.1310648918151855,1.0970628261566162,0.36394785600192364,0.36394785600192364,60,60,1.2700726985931396,1.3820791244506836,0.36394785600192364,0.36394785600192364
38,ZTF18adalbzx,RRL,0.349087,CRTSnorth,60,60,0.2110118865966797,0.20801186561584473,0.34908223723609816,0.34908223723609816,60,60,0.1500086784362793,0.18601059913635254,0.34907318141678606,0.34908223723609816,60,60,0.2670152187347412,0.23101305961608887,0.34908223723609816,0.34908223723609816,60,60,1.1380653381347656,1.1270644664764404,0.34908223723609816,0.34908223723609816,60,60,1.1510658264160156,1.1310646533966064,0.34908223723609816,0.34908223723609816,60,60,1.1410651206970215,1.1430654525756836,0.34908223723609816,0.34908223723609816
39,ZTF17aaclmdz,RRL,0.480494,LINEAR,60,60,0.2020113468170166,0.2000114917755127,0.4805019143793361,0.4805019143793361,60,60,0.14400839805603027,0.1410081386566162,0.48052696695152153,0.48047686441927734,60,60,0.19501090049743652,0.18001008033752441,0.4805019143793361,0.9272060221139181,60,60,1.452082872390747,1.2050690650939941,0.4805019143793361,0.4805019143793361,60,60,1.3510773181915283,1.1310646533966064,0.4805019143793361,0.4805019143793361,60,60,1.3540775775909424,1.1390652656555176,0.4805019143793361,0.4805019143793361
40,ZTF18acwzajr,RRL,0.6407791,GAIADR2VS,60,60,0.20601201057434082,0.19901156425476074,1.2815398276000094,1.281439776981875,60,60,0.14300799369812012,0.14000797271728516,1.7926012243802343,0.6408136887772332,60,60,0.19601106643676758,0.1780102252960205,0.6407468981944122,0.6408136887772332,60,60,1.1370649337768555,1.1200640201568604,0.6407802917453735,0.6407802917453735,60,60,1.2740726470947266,1.1200642585754395,0.6408136887772332,0.6408136887772332,60,60,1.4030804634094238,2.6571521759033203,0.6407802917453735,0.6408136887772332
41,ZTF18aabiakp,RRL,0.853621,CRTSnorth,60,60,0.4190237522125244,0.4650266170501709,0.9209918170450296,0.9210398310227913,60,60,0.3630208969116211,0.35502028465270996,0.9209679248654992,0.9210398310227913,60,60,0.4060235023498535,0.45102596282958984,5.924131023301523,0.31503757864097764,60,60,2.9231672286987305,2.6751532554626465,0.4604913603764919,0.4604913603764919,60,60,2.7241556644439697,2.867164134979248,0.4604913603764919,0.8555692664193748,60,60,2.3251328468322754,2.4601404666900635,0.4604913603764919,0.8555692664193748
